이름,날짜,태그
1차 poc,2024년 9월 5일 → 2024년 9월 6일,
09/02 1차 아이디어 (16개),2024년 9월 2일,
09/03~04 2차 아이디어 (21개),2024년 9월 3일 → 2024년 9월 4일,
OCR 이란? (1),2024년 9월 5일,
여러가지 기존 AI 서비스 비교 (1),2024년 9월 5일,
코드로 수학문제를 풀어보쟈~!(project Euler) (1),2024년 9월 5일,
AI 모델 의 한계 와 개선 방안 (1),2024년 9월 5일,
파이썬 도전기,2024년 9월 6일 → 2024년 9월 10일,
모바일 기술 스택(클라이언트),2024년 9월 6일 → 2024년 9월 7일,
OCR (수학 기호 인식가능),2024년 9월 6일,
모바일 웹 vs 모바일 웹 앱 vs 모바일 앱,2024년 9월 6일,
React Native expo vs CLI,2024년 9월 7일,
서버측 기술 스택,2024년 9월 7일 → 2024년 9월 8일,
Django vs Flask (1),2024년 9월 8일,
서비스 전체적인 과정 (1),2024년 9월 8일,
